iter	MultiClass
0	3.637094129
1	3.592209085
2	3.566365666
3	3.556892596
4	3.527202589
5	3.506145942
6	3.482728031
7	3.44942283
8	3.426525251
9	3.399774028
10	3.377373091
11	3.358535923
12	3.335934328
13	3.316586218
14	3.298847612
15	3.282051537
16	3.259562715
17	3.248012472
18	3.233546196
19	3.218449435
20	3.202739706
21	3.187701893
22	3.169572549
23	3.15172706
24	3.141819834
25	3.132973597
26	3.117586816
27	3.111182011
28	3.103233193
29	3.091270156
30	3.083238585
31	3.07422706
32	3.065210072
33	3.051954838
34	3.050071859
35	3.045330614
36	3.034043172
37	3.027227773
38	3.021186559
39	3.008424674
40	2.99848597
41	2.985931087
42	2.980738403
43	2.969142574
44	2.961950426
45	2.949498016
46	2.932276569
47	2.91688513
48	2.909964864
49	2.886026185
50	2.867151953
51	2.851472766
52	2.826167446
53	2.805759425
54	2.792004665
55	2.777303272
56	2.768286711
57	2.754808562
58	2.745254934
59	2.7334737
60	2.721975132
61	2.707352801
62	2.700460361
63	2.686128893
64	2.679769398
65	2.667946604
66	2.655186314
67	2.644585198
68	2.636314621
69	2.627567982
70	2.616638051
71	2.606298627
72	2.598257842
73	2.593894815
74	2.588136906
75	2.58242535
76	2.574441986
77	2.568101856
78	2.559805965
79	2.551490534
80	2.544494167
81	2.531928555
82	2.522681282
83	2.5159651
84	2.505608847
85	2.500417386
86	2.490860835
87	2.48660284
88	2.482723417
89	2.476410594
90	2.467794957
91	2.45939433
92	2.455171204
93	2.450738592
94	2.443816355
95	2.438966126
96	2.43521435
97	2.430953959
98	2.42335851
99	2.417072328
100	2.41192215
101	2.405964702
102	2.400623601
103	2.394603868
104	2.385543477
105	2.379880357
106	2.373076934
107	2.362929486
108	2.358340142
109	2.353965359
110	2.346469861
111	2.338397737
112	2.328975931
113	2.32061636
114	2.31446305
115	2.311831354
116	2.306804582
117	2.302366728
118	2.297193877
119	2.295902806
120	2.293009961
121	2.290556633
122	2.283078476
123	2.279440366
124	2.276281251
125	2.270705516
126	2.265517489
127	2.262641136
128	2.259781466
129	2.258147543
130	2.253736886
131	2.250681487
132	2.244189975
133	2.238819818
134	2.235105668
135	2.231771598
136	2.227626783
137	2.222812239
138	2.217181515
139	2.214354114
140	2.209538647
141	2.207395087
142	2.202570279
143	2.197002082
144	2.192332515
145	2.188587429
146	2.186160536
147	2.182773355
148	2.17795324
149	2.174325299
150	2.168711616
151	2.164428468
152	2.16005697
153	2.158263168
154	2.15252836
155	2.146636745
156	2.14250773
157	2.137792212
158	2.133259632
159	2.13069108
160	2.125126006
161	2.121049924
162	2.118222672
163	2.112907037
164	2.109972301
165	2.104310134
166	2.100687678
167	2.097071601
168	2.09546226
169	2.091800182
170	2.087077919
171	2.082441261
172	2.077424554
173	2.076256147
174	2.073091487
175	2.069253555
176	2.066681969
177	2.062867031
178	2.05983975
179	2.056354203
180	2.053894135
181	2.051648228
182	2.049238398
183	2.045914509
184	2.04205894
185	2.038537183
186	2.037341078
187	2.035644999
188	2.030087374
189	2.028058758
190	2.026354366
191	2.022397226
192	2.020500383
193	2.018904751
194	2.016606252
195	2.014238963
196	2.012297337
197	2.008250058
198	2.004813358
199	2.002901198
