iter	Passed	Remaining
0	407	81083
1	702	69502
2	955	62776
3	1009	49455
4	1323	51603
5	1560	50441
6	1810	49909
7	2045	49091
8	2292	48649
9	2534	48164
10	2787	47886
11	3022	47357
12	3285	47260
13	3523	46809
14	3760	46380
15	4016	46189
16	4261	45868
17	4499	45498
18	4742	45174
19	4983	44850
20	5223	44523
21	5462	44192
22	5700	43867
23	5935	43523
24	6170	43192
25	6423	42989
26	6673	42757
27	6917	42492
28	7164	42244
29	7408	41978
30	7642	41664
31	7880	41374
32	8125	41120
33	8372	40876
34	8537	40245
35	8779	39994
36	9017	39727
37	9259	39476
38	9498	39210
39	9735	38942
40	9980	38705
41	10221	38450
42	10456	38178
43	10694	37917
44	10934	37662
45	11176	37416
46	11409	37140
47	11646	36881
48	11891	36643
49	12131	36394
50	12368	36135
51	12607	35881
52	12846	35630
53	13081	35368
54	13321	35120
55	13558	34865
56	13793	34604
57	14025	34338
58	14265	34093
59	14511	33860
60	14752	33615
61	14991	33369
62	15230	33119
63	15463	32860
64	15709	32626
65	15945	32374
66	16187	32133
67	16420	31874
68	16655	31621
69	16896	31379
70	17133	31129
71	17370	30880
72	17610	30637
73	17848	30390
74	18085	30141
75	18356	29950
76	18589	29695
77	18827	29447
78	19063	29199
79	19330	28995
80	19566	28745
81	19800	28493
82	20039	28249
83	20308	28045
84	20547	27800
85	20784	27551
86	21024	27307
87	21291	27097
88	21532	26854
89	21767	26604
90	21999	26351
91	22238	26106
92	22472	25855
93	22707	25606
94	22975	25394
95	23253	25190
96	23529	24984
97	23806	24778
98	24059	24545
99	24349	24349
100	24591	24104
101	24828	23855
102	25065	23605
103	25302	23356
104	25539	23106
105	25789	22869
106	26060	22651
107	26327	22427
108	26561	22175
109	26823	21946
110	27094	21724
111	27331	21475
112	27565	21223
113	27800	20972
114	28039	20724
115	28308	20499
116	28544	20249
117	28780	20000
118	29055	19777
119	29322	19548
120	29588	19318
121	29854	19087
122	30096	18840
123	30331	18590
124	30570	18342
125	30801	18089
126	31038	17840
127	31275	17592
128	31541	17360
129	31781	17113
130	32019	16865
131	32261	16619
132	32500	16372
133	32737	16124
134	32975	15877
135	33247	15645
136	33512	15410
137	33778	15176
138	34057	14946
139	34309	14704
140	34569	14465
141	34815	14220
142	35059	13974
143	35335	13741
144	35617	13510
145	35856	13262
146	36138	13029
147	36393	12786
148	36649	12544
149	36903	12301
150	37163	12059
151	37445	11824
152	37697	11580
153	37984	11345
154	38282	11114
155	38533	10868
156	38786	10623
157	39041	10378
158	39302	10134
159	39551	9887
160	39810	9643
161	40066	9398
162	40349	9158
163	40620	8916
164	40871	8669
165	41136	8425
166	41381	8177
167	41624	7928
168	41917	7688
169	42174	7442
170	42419	7193
171	42694	6950
172	42942	6702
173	43199	6455
174	43486	6212
175	43730	5963
176	43968	5713
177	44211	5464
178	44451	5215
179	44694	4966
180	44934	4716
181	45176	4467
182	45449	4222
183	45688	3972
184	45935	3724
185	46205	3477
186	46439	3228
187	46697	2980
188	46939	2731
189	47182	2483
190	47444	2235
191	47688	1987
192	47954	1739
193	48198	1490
194	48439	1242
195	48705	993
196	48943	745
197	49184	496
198	49419	248
199	49661	0
